ref,existing_id,statement,title,sector,topic,entity_slug,resolution_type,topic_hashtag,emoji,harvest_channel,legal
T01,,"Entre deux audits Qualiopi, je tiens seul à jour les preuves de 32 indicateurs, avec l'audit de surveillance qui tombe autour du dix-huitième mois.",Les formateurs indépendants tiennent seuls 32 indicateurs de preuves entre deux audits Qualiopi,B2B,Ops,,tiers,#AuditQualiopi,📁,trainer FB groups,OK
T02,,"Je sous-traite pour deux organismes : chacun m'envoie son propre contrat de sous-traitance CPF et son propre dossier de conformité à refaire.",Les formateurs sous-traitants refont un dossier de conformité CPF par donneur d'ordre,B2B,Ops,,tiers,#SousTraitanceCPF,📑,"trainer FB groups, LinkedIn",OK
T03,,"Depuis avril 2026, chaque stagiaire CPF avance 150 € de sa poche, et plusieurs me demandent si je peux les payer à leur place, ce que je n'ai pas le droit de faire.",La participation CPF de 150 € fait renoncer des stagiaires et met le formateur en porte-à-faux,B2B,Ventes,,tiers,#ResteACharge150,💸,"trainer FB groups, LinkedIn",OK
T04,,"Ma formation CPF est finie depuis un mois : entre la déclaration de service fait, cinq jours de validation et trente jours de paiement, je n'ai toujours rien reçu.","Payés plus d'un mois après la fin d'une formation CPF, entre service fait et virement",Fintech,Facturation,mon-compte-formation,entite,#ServiceFait,⏳,trainer FB groups,"OK, sourced"
T05,,"Une feuille d'émargement manquante et mon dossier OPCO repart à zéro : quinze à trente jours ouvrés de plus avant d'être payé.",Un justificatif OPCO manquant remet le paiement du formateur à zéro,Fintech,Facturation,,tiers,#DossierOPCO,🔁,trainer FB groups,OK
T06,,"Depuis que la subrogation OPCO s'arrête au 1er octobre 2026, je dois expliquer à chaque client PME qu'il avancera le prix de ma formation avant d'être remboursé.","Sans subrogation OPCO, chaque PME doit être convaincue d'avancer le prix de la formation",B2B,Ventes,,tiers,#FinSubrogation,🏦,"trainer FB groups, LinkedIn",HOLD: official confirmation
T07,,"Chaque printemps, je passe une journée à ressaisir mon bilan pédagogique et financier stagiaire par stagiaire, sinon mon numéro de déclaration d'activité devient caduc.",Le bilan pédagogique et financier annuel coûte une journée de ressaisie aux formateurs indépendants,B2B,Finance/Compta,,tiers,#BPF,🗓️,trainer FB groups,OK
T08,,"On m'avait dit que la formation était exonérée de TVA ; en réalité il faut demander une attestation à la DREETS, et j'ai facturé trois mois au mauvais régime.","L'exonération de TVA des formateurs n'est pas automatique, et se découvre souvent après coup",B2B,Finance/Compta,,tiers,#TVAFormation,🧾,trainer FB groups,OK
T09,,"Pour vendre via le CPF, ma formation doit mener à une certification enregistrée : je paie une habilitation à un certificateur et je dépends de son renouvellement.","Sans certification enregistrée au RS ou au RNCP, un formateur ne peut pas vendre via le CPF",B2B,Ventes,france-competences,entite,#EligibiliteCPF,🎓,trainer FB groups,"OK, sourced"
T10,,"Une PME me demande devis, programme, convention, CV et certificat Qualiopi avant même de confirmer la date : cinq documents pour une journée de formation.",Cinq documents à produire avant qu'une PME confirme une journée de formation,B2B,Ventes,,tiers,#DossierAvantMission,📎,"trainer FB groups, LinkedIn",OK
